Timestamp,MÊS,ITEM,CATEGORIA,VALOR,O GASTO FOI URGENTE?,FORMA DE PAGAMENTO,GANHO
12/30/2023 17:52:14,AGO,Créditos,BEM ESTAR,40,SIM,PIX,28
12/30/2023 17:52:32,AGO,piercing,,60,NÃO,PIX,
12/30/2023 17:52:59,AGO,passagem,TRANSPORTE,6,FOI PARA MEU BEM ESTAR,DINHEIRO,
12/30/2023 17:53:17,AGO,café,,2,NÃO,DINHEIRO,
12/30/2023 17:53:39,AGO,lanche,COMIDA,10,NÃO,PIX,
12/30/2023 17:54:09,AGO,janta,COMIDA,9.5,NÃO,PIX,555
12/30/2023 17:54:40,AGO,uber,TRANSPORTE,69,SIM,DÉBITO,
12/30/2023 17:54:58,AGO,lanche,COMIDA,10.5,NÃO,DÉBITO,
12/30/2023 17:55:26,AGO,lanche,COMIDA,12,NÃO,PIX,
12/30/2023 17:55:49,AGO,farmacia,,10,NÃO,PIX,
12/30/2023 17:56:08,AGO,uber,TRANSPORTE,14,FOI PARA MEU BEM ESTAR,PIX,
12/30/2023 17:56:44,AGO,pastéis,COMIDA,71,FOI PARA MEU BEM ESTAR,PIX,50
12/30/2023 17:57:09,AGO,lanche,COMIDA,10,NÃO,DÉBITO,
12/30/2023 17:57:40,AGO,créditos,NECESSÁRIO,12,SIM,PIX,
12/30/2023 17:57:58,AGO,lanche,COMIDA,11,NÃO,DÉBITO,
12/30/2023 17:58:21,AGO,passagem,TRANSPORTE,6,FOI PARA MEU BEM ESTAR,DINHEIRO,
12/30/2023 17:59:04,SET,spotify,TRANSPORTE,12,FOI PARA MEU BEM ESTAR,PIX,
12/30/2023 17:59:24,SET,lamoço,COMIDA,8,NÃO,PIX,
12/30/2023 17:59:44,SET,lanche,COMIDA,16,NÃO,PIX,
12/30/2023 18:00:20,SET,uber,TRANSPORTE,37,FOI PARA MEU BEM ESTAR,PIX,50
12/30/2023 18:00:45,SET,shopee,,28,NÃO,PIX,
12/30/2023 18:01:21,SET,carrefour,,68,NÃO,DÉBITO,
12/30/2023 18:01:39,SET,calculadora,FACULDADE,32,SIM,DÉBITO,
12/30/2023 18:02:13,SET,passagem,TRANSPORTE,6,FOI PARA MEU BEM ESTAR,DINHEIRO,
12/30/2023 18:02:43,SET,remédios,BEM ESTAR,26,NÃO,DÉBITO,555
12/30/2023 18:03:12,SET,uber,TRANSPORTE,18,FOI PARA MEU BEM ESTAR,PIX,
12/30/2023 18:03:37,SET,maquiagem,,70,FOI PARA MEU BEM ESTAR,DÉBITO,100
12/30/2023 18:04:11,SET,camisa j,,27,NÃO,DÉBITO,
12/30/2023 18:04:47,SET,almoço,COMIDA,8,NÃO,PIX,35
12/30/2023 18:05:19,SET,quadros,BEM ESTAR,49,NÃO,DÉBITO,20
12/30/2023 18:05:38,SET,xerox,FACULDADE,5,,PIX,
12/30/2023 18:05:58,SET,canetas,FACULDADE,27,NÃO,DÉBITO,
12/30/2023 18:06:21,SET,restaurante,COMIDA,178,FOI PARA MEU BEM ESTAR,PIX,
12/30/2023 18:06:51,SET,uber,TRANSPORTE,25,NÃO,PIX,
12/30/2023 18:07:09,SET,lanche,COMIDA,5,NÃO,DÉBITO,
12/30/2023 18:07:26,SET,MC,COMIDA,50,NÃO,DÉBITO,
12/30/2023 18:07:44,SET,cartolina,,14,NÃO,DÉBITO,
12/30/2023 18:08:13,SET,sapatilhas,NECESSÁRIO,90,FOI PARA MEU BEM ESTAR,DÉBITO,
12/30/2023 18:08:44,SET,uber,TRANSPORTE,30,FOI PARA MEU BEM ESTAR,PIX,
12/30/2023 18:09:22,SET,presente,,130,NÃO,PIX,
12/30/2023 18:10:01,SET,uber,TRANSPORTE,25,FOI PARA MEU BEM ESTAR,PIX,700
12/30/2023 18:10:18,SET,HBO,,35,NÃO,PIX,
12/30/2023 18:10:42,SET,créditos,NECESSÁRIO,40,SIM,PIX,
12/30/2023 18:11:01,SET,farmacia,NECESSÁRIO,9,SIM,DÉBITO,
12/30/2023 18:11:34,SET,Consulta,NECESSÁRIO,130,SIM,DÉBITO,
12/30/2023 18:11:52,SET,lanche,COMIDA,5,NÃO,PIX,
12/30/2023 18:12:13,SET,uber,TRANSPORTE,11,NÃO,PIX,
12/30/2023 18:12:42,SET,uber,TRANSPORTE,13,NÃO,PIX,
